"Seller","Make","Price","ZIP","City","State","Class","Year","Length","Category","Hull.Material","Engine.Type","age"
"Denison Yachting - Denison Yachting","Horizon",2750000,"33316 ","Fort Lauderdale","FL","Power",2000,110," Motor Yachts","Fiberglass","Other",19
"HMY Yacht Sales, Inc. - HMY Yacht Sales - Miami Beach Marina","Lazzara",4699000,"33139 ","Miami Beach","FL","Power",2007,110," Motor Yachts","Other","Other",12
"River Valley Power & Sport - Red Wing","Sea-Doo",7499,"55066 ","Red Wing","MN","Power",2019,110," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",7499,"55391 ","Wayzata","MN","PWC",2019,110," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Sea-Doo",7499,"55901 ","Rochester","MN","PWC",2019,110," Personal Watercraft","Fiberglass","Single Inboard",0
"Preferred Yachts - Preferred Yachts","Westship",6900000,"33701 ","St. Petersburg","FL","PWC",2007,110," Mega Yachts","Composite","Twin Inboard",12
"Denison Yachting - Denison Yachting","Hargrave",2550000,"33316 ","Fort Lauderdale","FL","Power",2001,110," Motor Yachts, Mega Yachts","Fiberglass","Twin Inboard",18
"Gilman Yachts of Fort Lauderdale","Benetti",7495000,"33316 ","Ft. Lauderdale","FL","Power",2015,110," Motor Yachts","Fiberglass","Twin Inboard",4
"Apollo Yachts - Apollo Yachts","Ketch",1650000,"33131 ","Miami","FL","Power",1987,108," Ketch, Cruisers","Fiberglass","Other",32
"Allied Marine - Allied Marine - Stuart","Pershing",5999999,"34994 ","Stuart","FL","Sails",2011,108," Motor Yachts, Pilothouse","Fiberglass","Other",8
"Denison Yachting - Denison Yachting","Sunseeker",3900000,"33316 ","Fort Lauderdale","FL","Power",2008,108," Mega Yachts, Motor Yachts","Fiberglass","Twin Inboard",11
"Denison Yachting - Denison Yachting - Miami","Westship",1999000,"33139 ","Miami","FL","Power",1998,108," Motor Yachts, Motor Yachts, Mega Yachts","Aluminum","Other",21
"World Class Yacht Sales, Inc. - Corporate Office - New Port Richey","Derecktor",1350000,"34652 ","New Port Richey","FL","Power",1977,108," Commercial Boats, Passenger","Aluminum","Other",42
"Houseboats on Lanier","Sumerset",599000,"30518 ","Buford","GA","Power",2007,108," House Boats","Aluminum","Twin Inboard",12
"Gilman Yachts of Fort Lauderdale","Broward",795000,"33316 ","Ft. Lauderdale","FL","Power",1990,106," Motor Yachts, Pilothouse","Aluminum","Twin Inboard",29
"Gilman Yachts of Fort Lauderdale","Broward",795000,"33316 ","Ft. Lauderdale","FL","Power",1990,106," Motor Yachts, Pilothouse","Wood","Twin Inboard",29
"Denison Yachting - Denison Yachting - Marina Del Rey","Classic",1500000,"90292 ","Marina Del Rey","CA","Power",1929,105," Motor Yachts, Antique and Classics","Fiberglass","Twin Inboard",90
"Atlantic Yacht & Ship, Inc. - Atlantic Yacht & Ship, Inc.","Hargrave",3399999,"33004 ","Dania Beach","FL","Power",2006,105," Motor Yachts","Fiberglass","Other",13
"26 North Yachts - 26 North Yachts","Horizon",1695000,"33312 ","Fort Lauderdale","FL","Power",2002,105," Motor Yachts","Steel","Twin Inboard",17
"A & M Yacht Sales, Inc - A & M Yacht Sales, Inc - New Orleans","KELLY",305000,"70124 ","New Orleans","LA","Power",1977,105," House Boats, Motor Yachts","Fiberglass","Twin Inboard",42
"Denison Yachting - Denison Yachting","Mangusta",3950000,"33316 ","Fort Lauderdale","FL","Power",2011,105," Motor Yachts, Sports Cruiser, High Performance Boats","Fiberglass","Twin Inboard",8
